step,C-NR,C-SR,C-AR,C-UR,OC-NR,OC-SR,OC-AR,OC-UR,OD-NR,OD-SR,OD-AR,OD-UR,D-NR,D-SR,D-AR,D-UR
91,11,134,0,73,3,78,0,62,0,0,0,0,14,16,0,9
92,6,123,0,84,5,83,0,53,0,0,0,0,6,22,0,18
93,6,140,0,75,5,87,0,48,0,0,0,0,7,24,0,8
94,10,129,0,84,3,79,0,56,0,0,0,0,13,14,0,12
95,8,131,0,90,2,76,0,59,0,0,0,0,5,16,0,13
96,9,132,0,80,4,80,0,53,0,0,0,0,7,23,0,12
97,6,136,0,74,3,94,0,60,0,0,0,0,7,9,0,11
98,3,134,0,83,2,85,0,49,0,0,0,0,8,19,0,17
99,11,119,0,85,8,94,0,56,0,0,0,0,3,17,0,7
100,11,134,0,82,2,88,0,57,0,0,0,0,4,12,0,10
101,8,148,0,90,1,77,0,50,0,0,0,0,4,9,0,13
102,7,133,0,80,5,93,0,58,0,0,0,0,1,17,0,6
103,7,142,0,89,1,81,0,58,0,0,0,0,1,9,0,12
104,6,146,0,85,6,76,0,56,0,0,0,0,5,15,0,5
105,3,140,0,81,2,93,0,66,0,0,0,0,1,8,0,6
106,7,150,0,84,1,82,0,49,0,0,0,0,3,13,0,11
107,2,136,0,84,2,80,0,72,0,0,0,0,1,14,0,9
108,7,151,0,74,5,100,0,54,0,0,0,0,3,2,0,4
109,3,137,0,93,1,82,0,54,0,0,0,0,0,15,0,15
110,7,137,0,90,9,85,0,62,0,0,0,0,1,6,0,3
111,2,147,0,79,0,82,0,76,0,0,0,0,1,6,0,7
112,1,148,0,85,1,92,0,63,0,0,0,0,0,3,0,7
113,0,169,0,89,0,78,0,53,0,0,0,0,1,4,0,6
114,0,151,0,97,0,89,0,54,0,0,0,0,0,4,0,5
115,0,152,0,99,0,88,0,56,0,0,0,0,0,3,0,2
116,0,156,0,81,0,97,0,55,0,0,0,0,0,5,0,6
117,0,153,0,100,0,81,0,61,0,0,0,0,0,3,0,2
118,0,171,0,85,0,86,0,48,0,0,0,0,0,3,0,7
119,0,147,0,109,0,83,0,59,0,0,0,0,0,2,0,0
120,0,163,0,79,0,85,0,55,0,0,0,0,0,12,0,6
121,0,147,0,94,0,79,0,74,0,0,0,0,0,5,0,1
122,0,170,0,86,0,85,0,51,0,0,0,0,0,5,0,3
123,0,150,0,95,0,82,0,70,0,0,0,0,0,0,0,3
124,0,164,0,95,0,94,0,45,0,0,0,0,0,2,0,0
125,0,145,0,99,0,89,0,66,0,0,0,0,0,0,0,1
126,0,171,0,84,0,90,0,55,0,0,0,0,0,0,0,0
127,0,166,0,113,0,64,0,57,0,0,0,0,0,0,0,0
128,0,161,0,75,0,100,0,64,0,0,0,0,0,0,0,0
129,0,169,0,112,0,62,0,57,0,0,0,0,0,0,0,0
130,0,160,0,77,0,101,0,62,0,0,0,0,0,0,0,0
131,0,168,0,113,0,63,0,56,0,0,0,0,0,0,0,0
132,0,165,0,78,0,96,0,61,0,0,0,0,0,0,0,0
133,0,168,0,113,0,63,0,56,0,0,0,0,0,0,0,0
134,0,161,0,79,0,100,0,60,0,0,0,0,0,0,0,0
135,0,167,0,114,0,63,0,56,0,0,0,0,0,0,0,0
136,0,165,0,79,0,97,0,59,0,0,0,0,0,0,0,0
137,0,167,0,115,0,62,0,56,0,0,0,0,0,0,0,0
138,0,161,0,78,0,100,0,61,0,0,0,0,0,0,0,0
139,0,168,0,114,0,63,0,55,0,0,0,0,0,0,0,0
140,0,159,0,78,0,102,0,61,0,0,0,0,0,0,0,0
141,0,167,0,115,0,63,0,55,0,0,0,0,0,0,0,0
142,0,160,0,76,0,102,0,62,0,0,0,0,0,0,0,0
143,0,167,0,115,0,63,0,55,0,0,0,0,0,0,0,0
144,0,161,0,78,0,101,0,60,0,0,0,0,0,0,0,0
145,0,166,0,116,0,63,0,55,0,0,0,0,0,0,0,0
146,0,156,0,77,0,106,0,61,0,0,0,0,0,0,0,0
147,0,168,0,114,0,63,0,55,0,0,0,0,0,0,0,0
148,0,163,0,77,0,99,0,61,0,0,0,0,0,0,0,0
149,0,165,0,117,0,64,0,54,0,0,0,0,0,0,0,0
150,0,166,0,78,0,96,0,60,0,0,0,0,0,0,0,0
151,0,167,0,115,0,64,0,54,0,0,0,0,0,0,0,0
152,0,162,0,75,0,100,0,63,0,0,0,0,0,0,0,0
153,0,166,0,116,0,63,0,55,0,0,0,0,0,0,0,0
154,0,167,0,75,0,95,0,63,0,0,0,0,0,0,0,0
155,0,169,0,113,0,63,0,55,0,0,0,0,0,0,0,0
156,0,161,0,77,0,102,0,60,0,0,0,0,0,0,0,0
157,0,165,0,117,0,63,0,55,0,0,0,0,0,0,0,0
158,0,161,0,83,0,102,0,54,0,0,0,0,0,0,0,0
159,0,166,0,116,0,62,0,56,0,0,0,0,0,0,0,0
160,0,166,0,78,0,97,0,59,0,0,0,0,0,0,0,0
161,0,165,0,117,0,64,0,54,0,0,0,0,0,0,0,0
162,0,162,0,74,0,101,0,63,0,0,0,0,0,0,0,0
163,0,167,0,115,0,63,0,55,0,0,0,0,0,0,0,0
164,0,161,0,77,0,102,0,60,0,0,0,0,0,0,0,0
165,0,164,0,119,0,61,0,56,0,0,0,0,0,0,0,0
166,0,157,0,76,0,106,0,61,0,0,0,0,0,0,0,0
167,0,167,0,116,0,63,0,54,0,0,0,0,0,0,0,0
168,0,158,0,77,0,105,0,60,0,0,0,0,0,0,0,0
169,0,168,0,116,0,60,0,56,0,0,0,0,0,0,0,0
170,0,161,0,75,0,102,0,62,0,0,0,0,0,0,0,0
171,0,169,0,115,0,61,0,55,0,0,0,0,0,0,0,0
172,0,163,0,77,0,100,0,60,0,0,0,0,0,0,0,0
173,0,166,0,118,0,61,0,55,0,0,0,0,0,0,0,0
174,0,162,0,74,0,101,0,63,0,0,0,0,0,0,0,0
175,0,166,0,118,0,61,0,55,0,0,0,0,0,0,0,0
176,0,161,0,76,0,102,0,61,0,0,0,0,0,0,0,0
177,0,168,0,116,0,62,0,54,0,0,0,0,0,0,0,0
178,0,161,0,74,0,102,0,63,0,0,0,0,0,0,0,0
